text,sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized
My family earns around 373369 rupees per year. I belong to the SC community and want to start a tailoring. I need around Rs 270919.,Yes,373369,Business,tailoring,290099,270919,NA,NA,NA,NA
I am an SC beneficiary. My family income is Rs 344573. I want to start a service business business and need a loan of 1.4 lakh.,Yes,344573,Business,service business,164739,138596,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small food business. My income is 304399 rupees and the project will cost about 239232 rupees.,Yes,304399,Business,food business,239232,140732,NA,NA,NA,NA
I do not belong to the SC category. My family income is 3.1 lakhs and I need a loan for a poultry.,No,305301,Business,poultry,410713,360713,NA,NA,NA,NA
My family earns around 3.2 lakh per year. I belong to the SC community and want to start a transport. I need around 2.8 lakh.,Yes,322851,Business,transport,369522,278783,NA,NA,NA,NA
"My family earns 467745 rupees per year. I am an SC beneficiary and want to pursue law, which is a medical course. The fee is 35.4 lakhs.",Yes,467745,Education,NA,3535453,1576858,Graduate,law,medical,Yes
I want to open a tailoring. I am an SC beneficiary and my yearly family income is Rs 139735. I require about Rs 438243.,Yes,139735,Business,tailoring,534957,438243,NA,NA,NA,NA
My family earns around 1.9 lakhs per year. I belong to the SC community and want to start a computer centre. I need around 310016 rupees.,Yes,193123,Business,computer centre,370226,310016,NA,NA,NA,NA
I do not belong to the SC category. My family income is 1.9 lakhs and I need a loan for a fisheries.,No,192739,Business,fisheries,379619,329619,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a repair shop and need Rs 140791.,No,455647,Business,repair shop,190791,140791,NA,NA,NA,NA
"I need a loan to study nursing. I am an SC student, my income is Rs 154475, and the course fee is 1.8 lakhs.",Yes,154475,Education,NA,175949,175949,Graduate,nursing,medical,Yes
I belong to Scheduled Caste and want to start a small repair shop. My income is ₹130921 and the project will cost about Rs 317180.,Yes,130921,Business,repair shop,317180,223028,NA,NA,NA,NA
I do not belong to the SC category. My family income is 420681 rupees and I need a loan for a service business.,No,420681,Business,service business,408049,358049,NA,NA,NA,NA
"My family earns 474012 rupees per year. I am an SC beneficiary and want to pursue BCA, which is a medical course. The fee is 3063216 rupees.",Yes,474012,Education,NA,3063216,1148253,Postgraduate,BCA,medical,Yes
"My family earns Rs 376276 per year. I am an SC beneficiary and want to pursue pharmacy, which is a professional course. The fee is 9.6 lakhs.",Yes,376276,Education,NA,955334,955334,Postgraduate,pharmacy,professional,Yes
I am not an SC beneficiary. I want to start a poultry and need 2.2 lakhs.,No,153214,Business,poultry,270873,220873,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my BTech course. My family income is ₹386403 and I require 9.2 lakh.,Yes,386403,Education,NA,924334,924334,12th,BTech,medical,Yes
"My family earns Rs 324708 per year. I am an SC beneficiary and want to pursue law, which is a professional course. The fee is 3120960 rupees.",Yes,324708,Education,NA,3120960,621372,Postgraduate,law,professional,Yes
I am an SC beneficiary. My family income is Rs 97735. I want to start a computer centre business and need a loan of 288474 rupees.,Yes,97735,Business,computer centre,388186,288474,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small tailoring. My income is Rs 94875 and the project will cost about ₹108542.,Yes,94875,Business,tailoring,108542,92584,NA,NA,NA,NA
I belong to the SC category. I want an education loan for BTech. My annual family income is 3.9 lakh and I need around 9.5 lakhs.,Yes,386010,Education,NA,953473,953473,12th,BTech,medical,Yes
I want to open a computer centre. I am an SC beneficiary and my yearly family income is 140286 rupees. I require about 291300 rupees.,Yes,140286,Business,computer centre,348587,291300,NA,NA,NA,NA
"I need a loan to study MCA. I am an SC student, my income is 2.6 lakh, and the course fee is 2815687 rupees.",Yes,256949,Education,NA,2815687,2815687,Graduate,MCA,medical,Yes
I am from SC category and want financial help for my poultry. The total project cost is ₹468679 and I need Rs 418167 as loan. My annual income is 3.9 lakh.,Yes,390977,Business,poultry,468679,418167,NA,NA,NA,NA
"My family earns 2.9 lakhs per year. I am an SC beneficiary and want to pursue nursing, which is a management course. The fee is ₹3656243.",Yes,291214,Education,NA,3656243,2143627,Graduate,nursing,management,Yes
I am an SC student and my family income is Rs 306388. I want to study engineering. My course fee is 11.5 lakhs and I need a loan of 11.5 lakh.,Yes,306388,Education,NA,1154211,1154211,12th,engineering,management,Yes
My family earns around Rs 152281 per year. I belong to the SC community and want to start a service business. I need around Rs 444465.,Yes,152281,Business,service business,525653,444465,NA,NA,NA,NA
I am an SC beneficiary. My family income is Rs 203201. I want to start a poultry business and need a loan of 65227 rupees.,Yes,203201,Business,poultry,103641,65227,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 135758 rupees and I require 13.2 lakh.,Yes,135758,Education,NA,3561502,1323635,Postgraduate,nursing,management,Yes
I am from SC category and want financial help for my small manufacturing. The total project cost is Rs 527273 and I need Rs 436716 as loan. My annual income is 4.4 lakhs.,Yes,443396,Business,small manufacturing,527273,436716,NA,NA,NA,NA
I am an SC beneficiary. My family income is 2.9 lakhs. I want to start a small manufacturing business and need a loan of 3.6 lakh.,Yes,292703,Business,small manufacturing,415130,361880,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my BCA course. My family income is 463932 rupees and I require 1378040 rupees.,Yes,463932,Education,NA,3922622,1378040,Postgraduate,BCA,medical,Yes
I am an SC beneficiary. My family income is 3.6 lakh. I want to start a food business business and need a loan of Rs 109415.,Yes,356732,Business,food business,178105,109415,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my pharmacy course. My family income is 4.0 lakh and I require Rs 1427568.,Yes,395798,Education,NA,1427568,1427568,12th,pharmacy,management,Yes
I belong to Scheduled Caste and want to start a small service business. My income is ₹223040 and the project will cost about 4.7 lakhs.,Yes,223040,Business,service business,468918,401882,NA,NA,NA,NA
My family earns around 2.3 lakhs per year. I belong to the SC community and want to start a repair shop. I need around ₹366163.,Yes,231721,Business,repair shop,402793,366163,NA,NA,NA,NA
I belong to the SC category. I want an education loan for law. My annual family income is Rs 346743 and I need around Rs 1770688.,Yes,346743,Education,NA,3788492,1770688,Postgraduate,law,technical,Yes
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is ₹240665 and I require ₹1257925.,Yes,240665,Education,NA,1257925,1257925,12th,nursing,professional,Yes
I belong to the SC category. I want an education loan for MCA. My annual family income is 3.0 lakh and I need around 3.4 lakhs.,Yes,297185,Education,NA,3062075,337827,12th,MCA,management,Yes
I want to open a service business. I am an SC beneficiary and my yearly family income is 201064 rupees. I require about ₹362664.,Yes,201064,Business,service business,403096,362664,NA,NA,NA,NA
"My family earns 3.6 lakhs per year. I am an SC beneficiary and want to pursue BTech, which is a management course. The fee is 25.4 lakhs.",Yes,360501,Education,NA,2542450,56562,12th,BTech,management,Yes
I am an SC student and my family income is Rs 158915. I want to study MBA. My course fee is 2110168 rupees and I need a loan of ₹2110168.,Yes,158915,Education,NA,2110168,2110168,Postgraduate,MBA,technical,Yes
I am not an SC beneficiary. I want to start a transport and need ₹278850.,No,248148,Business,transport,328850,278850,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my MCA course. My family income is 1.1 lakhs and I require 13.6 lakhs.,Yes,114180,Education,NA,3778725,1360492,Graduate,MCA,technical,Yes
I am not an SC beneficiary. I want to start a small manufacturing and need ₹201765.,No,168696,Business,small manufacturing,251765,201765,NA,NA,NA,NA
I do not belong to the SC category. My family income is 419621 rupees and I need a loan for a service business.,No,419621,Business,service business,214511,164511,NA,NA,NA,NA
I do not belong to the SC category. My family income is Rs 466928 and I need a loan for a food business.,No,466928,Business,food business,284524,234524,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small computer centre. My income is ₹420468 and the project will cost about 2.0 lakh.,Yes,420468,Business,computer centre,202689,161791,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a repair shop and need 2.3 lakhs.,No,313371,Business,repair shop,282743,232743,NA,NA,NA,NA
I belong to the SC category. I want an education loan for pharmacy. My annual family income is Rs 159413 and I need around ₹1842605.,Yes,159413,Education,NA,1842605,1842605,Postgraduate,pharmacy,medical,Yes
I belong to the SC category. I want an education loan for engineering. My annual family income is 415958 rupees and I need around 11.3 lakh.,Yes,415958,Education,NA,1131517,1131517,12th,engineering,technical,Yes
"I need a loan to study MCA. I am an SC student, my income is ₹387112, and the course fee is 466265 rupees.",Yes,387112,Education,NA,466265,466265,12th,MCA,medical,Yes
I am from SC category and want financial help for my food business. The total project cost is 2.5 lakh and I need 1.9 lakh as loan. My annual income is ₹290953.,Yes,290953,Business,food business,253923,186082,NA,NA,NA,NA
"My family earns 3.6 lakh per year. I am an SC beneficiary and want to pursue law, which is a technical course. The fee is 32.1 lakh.",Yes,356391,Education,NA,3206737,1893677,12th,law,technical,Yes
I am from SC category and want financial help for my fisheries. The total project cost is 256395 rupees and I need Rs 239533 as loan. My annual income is 3.7 lakhs.,Yes,372820,Business,fisheries,256395,239533,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹313366 and I need a loan for a fisheries.,No,313366,Business,fisheries,364316,314316,NA,NA,NA,NA
I am an SC beneficiary. My family income is 4.7 lakh. I want to start a fisheries business and need a loan of 352338 rupees.,Yes,473304,Business,fisheries,379147,352338,NA,NA,NA,NA
I do not belong to the SC category. My family income is 1.0 lakhs and I need a loan for a tailoring.,No,104704,Business,tailoring,108637,58637,NA,NA,NA,NA
I want to open a computer centre. I am an SC beneficiary and my yearly family income is 1.7 lakhs. I require about 196199 rupees.,Yes,170308,Business,computer centre,239504,196199,NA,NA,NA,NA
I do not belong to the SC category. My family income is 136637 rupees and I need a loan for a food business.,No,136637,Business,food business,140900,90900,NA,NA,NA,NA
I am an SC student and my family income is 3.1 lakhs. I want to study pharmacy. My course fee is Rs 960680 and I need a loan of 960680 rupees.,Yes,313978,Education,NA,960680,960680,Postgraduate,pharmacy,management,Yes
My family earns around 476247 rupees per year. I belong to the SC community and want to start a small manufacturing. I need around 258268 rupees.,Yes,476247,Business,small manufacturing,328369,258268,NA,NA,NA,NA
My family earns around 4.9 lakh per year. I belong to the SC community and want to start a tailoring. I need around 1.4 lakhs.,Yes,485593,Business,tailoring,235816,141892,NA,NA,NA,NA
I want to open a service business. I am an SC beneficiary and my yearly family income is Rs 239535. I require about 4.0 lakhs.,Yes,239535,Business,service business,421922,401645,NA,NA,NA,NA
I belong to the SC category. I want an education loan for engineering. My annual family income is ₹169216 and I need around ₹380148.,Yes,169216,Education,NA,380148,380148,Postgraduate,engineering,management,Yes
"My family earns ₹218181 per year. I am an SC beneficiary and want to pursue law, which is a professional course. The fee is 34.9 lakhs.",Yes,218181,Education,NA,3492555,2003647,12th,law,professional,Yes
My family earns around 4.5 lakh per year. I belong to the SC community and want to start a small manufacturing. I need around Rs 333269.,Yes,449566,Business,small manufacturing,393237,333269,NA,NA,NA,NA
"My family earns 1.3 lakh per year. I am an SC beneficiary and want to pursue engineering, which is a medical course. The fee is Rs 3117612.",Yes,127566,Education,NA,3117612,3117612,12th,engineering,medical,Yes
"My family earns 3.6 lakhs per year. I am an SC beneficiary and want to pursue law, which is a professional course. The fee is Rs 2759500.",Yes,357174,Education,NA,2759500,2759500,Postgraduate,law,professional,Yes
I am from Scheduled Caste and want financial assistance for my medical course. My family income is Rs 214381 and I require 1039994 rupees.,Yes,214381,Education,NA,1877145,1039994,12th,medical,technical,Yes
I belong to Scheduled Caste and want to start a small tailoring. My income is Rs 343600 and the project will cost about ₹171179.,Yes,343600,Business,tailoring,171179,129810,NA,NA,NA,NA
"I need a loan to study nursing. I am an SC student, my income is 1.1 lakhs, and the course fee is 3096502 rupees.",Yes,106669,Education,NA,3096502,2058556,12th,nursing,professional,Yes
I am not an SC beneficiary. I want to start a small manufacturing and need ₹390208.,No,179170,Business,small manufacturing,440208,390208,NA,NA,NA,NA
I am an SC student and my family income is Rs 216487. I want to study BCA. My course fee is Rs 2198382 and I need a loan of 22.0 lakh.,Yes,216487,Education,NA,2198382,2198382,Postgraduate,BCA,professional,Yes
I belong to Scheduled Caste and want to start a small computer centre. My income is 260382 rupees and the project will cost about 106010 rupees.,Yes,260382,Business,computer centre,106010,81131,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small poultry. My income is 2.5 lakh and the project will cost about ₹340762.,Yes,252912,Business,poultry,340762,265820,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small service business. My income is 399271 rupees and the project will cost about ₹381943.,Yes,399271,Business,service business,381943,334089,NA,NA,NA,NA
"My family earns 285453 rupees per year. I am an SC beneficiary and want to pursue BTech, which is a technical course. The fee is 3019239 rupees.",Yes,285453,Education,NA,3019239,3019239,12th,BTech,technical,Yes
I am from Scheduled Caste and want financial assistance for my MCA course. My family income is 4.6 lakh and I require Rs 2506827.,Yes,461370,Education,NA,2506827,2506827,12th,MCA,management,Yes
I belong to Scheduled Caste and want to start a small fisheries. My income is Rs 170336 and the project will cost about 4.5 lakh.,Yes,170336,Business,fisheries,451320,429319,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small computer centre. My income is Rs 170110 and the project will cost about Rs 270967.,Yes,170110,Business,computer centre,270967,260516,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹144082. I want to start a poultry business and need a loan of Rs 283397.,Yes,144082,Business,poultry,333469,283397,NA,NA,NA,NA
"My family earns 2.7 lakhs per year. I am an SC beneficiary and want to pursue nursing, which is a technical course. The fee is 1194540 rupees.",Yes,274594,Education,NA,1194540,279544,12th,nursing,technical,Yes
My family earns around ₹272698 per year. I belong to the SC community and want to start a repair shop. I need around 3.7 lakhs.,Yes,272698,Business,repair shop,411187,372240,NA,NA,NA,NA
My family earns around 2.6 lakh per year. I belong to the SC community and want to start a repair shop. I need around 2.3 lakhs.,Yes,260837,Business,repair shop,284592,234211,NA,NA,NA,NA
I belong to the SC category. I want an education loan for medical. My annual family income is 166822 rupees and I need around 597452 rupees.,Yes,166822,Education,NA,597452,597452,Graduate,medical,professional,Yes
I belong to the SC category. I want an education loan for medical. My annual family income is 287682 rupees and I need around 617900 rupees.,Yes,287682,Education,NA,617900,617900,Graduate,medical,management,Yes
I am an SC student and my family income is Rs 160960. I want to study MBA. My course fee is 36.0 lakhs and I need a loan of 6.7 lakh.,Yes,160960,Education,NA,3597921,669887,Postgraduate,MBA,technical,Yes
I am from SC category and want financial help for my transport. The total project cost is 1.6 lakh and I need ₹76578 as loan. My annual income is ₹142563.,Yes,142563,Business,transport,157750,76578,NA,NA,NA,NA
"My family earns 5.0 lakhs per year. I am an SC beneficiary and want to pursue BTech, which is a technical course. The fee is 8.4 lakh.",Yes,497972,Education,NA,841341,841341,12th,BTech,technical,Yes
I am an SC student and my family income is 2.7 lakh. I want to study nursing. My course fee is 2953168 rupees and I need a loan of ₹1508483.,Yes,271280,Education,NA,2953168,1508483,12th,nursing,management,Yes
I am from Scheduled Caste and want financial assistance for my BTech course. My family income is 2.0 lakhs and I require ₹1335786.,Yes,202932,Education,NA,2751162,1335786,Graduate,BTech,medical,Yes
"I need a loan to study BTech. I am an SC student, my income is 4.8 lakh, and the course fee is 3.5 lakh.",Yes,479167,Education,NA,354584,354584,12th,BTech,medical,Yes
I am from SC category and want financial help for my grocery shop. The total project cost is 450650 rupees and I need Rs 408267 as loan. My annual income is 2.6 lakhs.,Yes,258040,Business,grocery shop,450650,408267,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my BTech course. My family income is 260179 rupees and I require ₹667732.,Yes,260179,Education,NA,667732,667732,Postgraduate,BTech,medical,Yes
"I need a loan to study medical. I am an SC student, my income is Rs 83044, and the course fee is ₹1453592.",Yes,83044,Education,NA,1453592,1453592,12th,medical,professional,Yes
My family earns around ₹150731 per year. I belong to the SC community and want to start a food business. I need around 4.3 lakh.,Yes,150731,Business,food business,490133,426584,NA,NA,NA,NA
I do not belong to the SC category. My family income is Rs 319629 and I need a loan for a computer centre.,No,319629,Business,computer centre,161276,111276,NA,NA,NA,NA
I want to open a fisheries. I am an SC beneficiary and my yearly family income is ₹95547. I require about ₹52084.,Yes,95547,Business,fisheries,122928,52084,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹220528 and I need a loan for a computer centre.,No,220528,Business,computer centre,315725,265725,NA,NA,NA,NA
I belong to the SC category. I want an education loan for medical. My annual family income is ₹363762 and I need around 17.2 lakhs.,Yes,363762,Education,NA,3214535,1715139,Graduate,medical,management,Yes
I belong to the SC category. I want an education loan for BCA. My annual family income is 3.8 lakh and I need around 2597492 rupees.,Yes,383188,Education,NA,2597492,2597492,Postgraduate,BCA,technical,Yes
I am an SC beneficiary. My family income is 92889 rupees. I want to start a food business business and need a loan of Rs 159637.,Yes,92889,Business,food business,259359,159637,NA,NA,NA,NA
I want to open a computer centre. I am an SC beneficiary and my yearly family income is ₹252014. I require about ₹54220.,Yes,252014,Business,computer centre,92789,54220,NA,NA,NA,NA
I belong to the SC category. I want an education loan for medical. My annual family income is 153159 rupees and I need around 1421110 rupees.,Yes,153159,Education,NA,3105831,1421110,Graduate,medical,technical,Yes
I am from SC category and want financial help for my grocery shop. The total project cost is ₹340958 and I need 296395 rupees as loan. My annual income is Rs 468535.,Yes,468535,Business,grocery shop,340958,296395,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a food business and need 2.0 lakhs.,No,175799,Business,food business,249498,199498,NA,NA,NA,NA
My family earns around 426341 rupees per year. I belong to the SC community and want to start a tailoring. I need around ₹116524.,Yes,426341,Business,tailoring,182547,116524,NA,NA,NA,NA
I am from SC category and want financial help for my tailoring. The total project cost is Rs 211355 and I need Rs 187621 as loan. My annual income is 218888 rupees.,Yes,218888,Business,tailoring,211355,187621,NA,NA,NA,NA
I am from SC category and want financial help for my poultry. The total project cost is Rs 482824 and I need Rs 446974 as loan. My annual income is 262591 rupees.,Yes,262591,Business,poultry,482824,446974,NA,NA,NA,NA
I do not belong to the SC category. My family income is 2.2 lakh and I need a loan for a poultry.,No,220564,Business,poultry,220951,170951,NA,NA,NA,NA
I am an SC student and my family income is ₹332971. I want to study medical. My course fee is 25.8 lakhs and I need a loan of 12.5 lakhs.,Yes,332971,Education,NA,2581388,1249885,Postgraduate,medical,technical,Yes
"My family earns 4.6 lakhs per year. I am an SC beneficiary and want to pursue pharmacy, which is a technical course. The fee is ₹2260935.",Yes,464371,Education,NA,2260935,421014,Postgraduate,pharmacy,technical,Yes
I am an SC beneficiary. My family income is 213828 rupees. I want to start a transport business and need a loan of ₹444043.,Yes,213828,Business,transport,499731,444043,NA,NA,NA,NA
I want to open a food business. I am an SC beneficiary and my yearly family income is 2.2 lakhs. I require about Rs 434862.,Yes,220929,Business,food business,481657,434862,NA,NA,NA,NA
I am an SC beneficiary. My family income is 3.8 lakhs. I want to start a poultry business and need a loan of 1.2 lakh.,Yes,379583,Business,poultry,204237,118754,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a tailoring and need 65412 rupees.,No,346281,Business,tailoring,115412,65412,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small small manufacturing. My income is 3.5 lakh and the project will cost about 343751 rupees.,Yes,354368,Business,small manufacturing,343751,256246,NA,NA,NA,NA
I am an SC student and my family income is Rs 81976. I want to study BTech. My course fee is 24.8 lakhs and I need a loan of ₹2483205.,Yes,81976,Education,NA,2483205,2483205,12th,BTech,professional,Yes
I am an SC student and my family income is 3.9 lakh. I want to study pharmacy. My course fee is 23.0 lakh and I need a loan of Rs 2295084.,Yes,392532,Education,NA,2295084,2295084,Graduate,pharmacy,medical,Yes
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 4.1 lakhs and I require 8.6 lakh.,Yes,411237,Education,NA,3651503,864469,Postgraduate,nursing,technical,Yes
I do not belong to the SC category. My family income is 166054 rupees and I need a loan for a small manufacturing.,No,166054,Business,small manufacturing,212424,162424,NA,NA,NA,NA
I belong to the SC category. I want an education loan for MCA. My annual family income is ₹329336 and I need around 13.6 lakhs.,Yes,329336,Education,NA,3056068,1357990,12th,MCA,medical,Yes
I am from SC category and want financial help for my tailoring. The total project cost is Rs 295491 and I need Rs 281118 as loan. My annual income is ₹241969.,Yes,241969,Business,tailoring,295491,281118,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a grocery shop and need 106914 rupees.,No,407789,Business,grocery shop,156914,106914,NA,NA,NA,NA
I am an SC beneficiary. My family income is 362086 rupees. I want to start a fisheries business and need a loan of 1.6 lakhs.,Yes,362086,Business,fisheries,180486,157759,NA,NA,NA,NA
I want to open a transport. I am an SC beneficiary and my yearly family income is 3.0 lakhs. I require about 422358 rupees.,Yes,295354,Business,transport,459203,422358,NA,NA,NA,NA
My family earns around 1.3 lakhs per year. I belong to the SC community and want to start a repair shop. I need around ₹265423.,Yes,133506,Business,repair shop,325493,265423,NA,NA,NA,NA
"I need a loan to study MCA. I am an SC student, my income is ₹281268, and the course fee is 34.3 lakh.",Yes,281268,Education,NA,3425442,3425442,Postgraduate,MCA,professional,Yes
I belong to the SC category. I want an education loan for engineering. My annual family income is 389392 rupees and I need around 6.8 lakh.,Yes,389392,Education,NA,2594980,682558,12th,engineering,management,Yes
I belong to Scheduled Caste and want to start a small transport. My income is 108795 rupees and the project will cost about 229631 rupees.,Yes,108795,Business,transport,229631,133025,NA,NA,NA,NA
I am from SC category and want financial help for my tailoring. The total project cost is ₹256533 and I need ₹214172 as loan. My annual income is 1.5 lakh.,Yes,153105,Business,tailoring,256533,214172,NA,NA,NA,NA
I am from SC category and want financial help for my small manufacturing. The total project cost is 3.8 lakhs and I need 341929 rupees as loan. My annual income is ₹330814.,Yes,330814,Business,small manufacturing,380338,341929,NA,NA,NA,NA
I am from SC category and want financial help for my computer centre. The total project cost is ₹245774 and I need 1.6 lakhs as loan. My annual income is ₹173411.,Yes,173411,Business,computer centre,245774,156773,NA,NA,NA,NA
I am from SC category and want financial help for my poultry. The total project cost is 2.2 lakhs and I need 1.6 lakhs as loan. My annual income is 3.0 lakhs.,Yes,297895,Business,poultry,223612,161033,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is ₹212343 and I require Rs 968122.,Yes,212343,Education,NA,1318146,968122,Postgraduate,nursing,professional,Yes
I am from Scheduled Caste and want financial assistance for my BTech course. My family income is 326911 rupees and I require Rs 2739075.,Yes,326911,Education,NA,3348365,2739075,Graduate,BTech,management,Yes
I want to open a tailoring. I am an SC beneficiary and my yearly family income is 3.5 lakhs. I require about 141281 rupees.,Yes,349309,Business,tailoring,196200,141281,NA,NA,NA,NA
I am an SC beneficiary. My family income is Rs 425889. I want to start a food business business and need a loan of 315262 rupees.,Yes,425889,Business,food business,400773,315262,NA,NA,NA,NA
I am from SC category and want financial help for my poultry. The total project cost is 1.8 lakh and I need 1.1 lakhs as loan. My annual income is 229877 rupees.,Yes,229877,Business,poultry,175663,105452,NA,NA,NA,NA
"My family earns 130784 rupees per year. I am an SC beneficiary and want to pursue BTech, which is a management course. The fee is ₹3771717.",Yes,130784,Education,NA,3771717,2903283,Postgraduate,BTech,management,Yes
I am an SC beneficiary. My family income is ₹162525. I want to start a fisheries business and need a loan of ₹111907.,Yes,162525,Business,fisheries,182245,111907,NA,NA,NA,NA
I am an SC beneficiary. My family income is 4.4 lakhs. I want to start a food business business and need a loan of 3.0 lakhs.,Yes,436160,Business,food business,352199,299777,NA,NA,NA,NA
My family earns around 1.6 lakh per year. I belong to the SC community and want to start a poultry. I need around 443558 rupees.,Yes,155601,Business,poultry,489871,443558,NA,NA,NA,NA
"I need a loan to study MBA. I am an SC student, my income is ₹254041, and the course fee is 30.3 lakhs.",Yes,254041,Education,NA,3034054,2087508,Graduate,MBA,medical,Yes
I do not belong to the SC category. My family income is Rs 186096 and I need a loan for a food business.,No,186096,Business,food business,358780,308780,NA,NA,NA,NA
I belong to the SC category. I want an education loan for medical. My annual family income is Rs 185975 and I need around 6.0 lakhs.,Yes,185975,Education,NA,601962,601962,Postgraduate,medical,technical,Yes
I belong to Scheduled Caste and want to start a small transport. My income is 3.2 lakhs and the project will cost about 484451 rupees.,Yes,315127,Business,transport,484451,449170,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 300325 rupees and I require 23.1 lakhs.,Yes,300325,Education,NA,2313624,2313624,Graduate,nursing,management,Yes
"My family earns Rs 394854 per year. I am an SC beneficiary and want to pursue nursing, which is a medical course. The fee is 32.0 lakh.",Yes,394854,Education,NA,3203026,2615092,Postgraduate,nursing,medical,Yes
I do not belong to the SC category. My family income is 233438 rupees and I need a loan for a service business.,No,233438,Business,service business,262366,212366,NA,NA,NA,NA
I belong to the SC category. I want an education loan for BTech. My annual family income is Rs 425639 and I need around Rs 1159953.,Yes,425639,Education,NA,3051397,1159953,12th,BTech,technical,Yes
I belong to Scheduled Caste and want to start a small service business. My income is 124631 rupees and the project will cost about ₹295130.,Yes,124631,Business,service business,295130,207053,NA,NA,NA,NA
I am from SC category and want financial help for my repair shop. The total project cost is 2.5 lakh and I need 2.3 lakhs as loan. My annual income is ₹116225.,Yes,116225,Business,repair shop,251541,232660,NA,NA,NA,NA
My family earns around Rs 418093 per year. I belong to the SC community and want to start a grocery shop. I need around 247664 rupees.,Yes,418093,Business,grocery shop,315832,247664,NA,NA,NA,NA
I am an SC student and my family income is ₹96694. I want to study law. My course fee is 1015944 rupees and I need a loan of Rs 1015944.,Yes,96694,Education,NA,1015944,1015944,12th,law,professional,Yes
I belong to Scheduled Caste and want to start a small transport. My income is Rs 306155 and the project will cost about ₹153852.,Yes,306155,Business,transport,153852,72777,NA,NA,NA,NA
I belong to the SC category. I want an education loan for engineering. My annual family income is Rs 354370 and I need around ₹1539395.,Yes,354370,Education,NA,1539395,1539395,Postgraduate,engineering,medical,Yes
"My family earns 306377 rupees per year. I am an SC beneficiary and want to pursue pharmacy, which is a management course. The fee is ₹1696488.",Yes,306377,Education,NA,1696488,1696488,12th,pharmacy,management,Yes
My family earns around 498527 rupees per year. I belong to the SC community and want to start a small manufacturing. I need around Rs 221478.,Yes,498527,Business,small manufacturing,302100,221478,NA,NA,NA,NA
I am from SC category and want financial help for my service business. The total project cost is 270685 rupees and I need ₹226275 as loan. My annual income is ₹475563.,Yes,475563,Business,service business,270685,226275,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my BCA course. My family income is 407184 rupees and I require 25.9 lakh.,Yes,407184,Education,NA,2706265,2587217,Graduate,BCA,medical,Yes
"I need a loan to study nursing. I am an SC student, my income is 155533 rupees, and the course fee is 3528282 rupees.",Yes,155533,Education,NA,3528282,924924,12th,nursing,management,Yes
I am not an SC beneficiary. I want to start a fisheries and need ₹108887.,No,338390,Business,fisheries,158887,108887,NA,NA,NA,NA
I belong to the SC category. I want an education loan for pharmacy. My annual family income is 4.4 lakhs and I need around Rs 1342190.,Yes,440005,Education,NA,1342190,1342190,Postgraduate,pharmacy,technical,Yes
"I need a loan to study BTech. I am an SC student, my income is 4.7 lakhs, and the course fee is 39.2 lakh.",Yes,470640,Education,NA,3922907,365927,Postgraduate,BTech,management,Yes
I want to open a transport. I am an SC beneficiary and my yearly family income is 266191 rupees. I require about ₹151126.,Yes,266191,Business,transport,194065,151126,NA,NA,NA,NA
I belong to the SC category. I want an education loan for law. My annual family income is 422099 rupees and I need around 37.4 lakh.,Yes,422099,Education,NA,3778383,3737812,12th,law,technical,Yes
I am not an SC beneficiary. I want to start a transport and need 2.9 lakh.,No,97021,Business,transport,338373,288373,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹446901 and I need a loan for a food business.,No,446901,Business,food business,396446,346446,NA,NA,NA,NA
I am an SC beneficiary. My family income is Rs 206973. I want to start a small manufacturing business and need a loan of Rs 300631.,Yes,206973,Business,small manufacturing,356556,300631,NA,NA,NA,NA
I am an SC beneficiary. My family income is 177348 rupees. I want to start a poultry business and need a loan of Rs 303705.,Yes,177348,Business,poultry,360811,303705,NA,NA,NA,NA
